seed,task_id,behaviour,verifier,detected
48,T-0094,forged,V2,False
48,T-0102,honest,V1,False
48,T-0102,honest,V2,False
48,T-0102,naive,V1,True
48,T-0102,naive,V2,True
48,T-0102,forged,V1,True
48,T-0102,forged,V2,False
48,T-0118,honest,V1,False
48,T-0118,honest,V2,False
48,T-0118,naive,V1,True
48,T-0118,naive,V2,True
48,T-0118,forged,V1,True
48,T-0118,forged,V2,False
48,T-0135,honest,V1,False
48,T-0135,honest,V2,False
48,T-0135,naive,V1,True
48,T-0135,naive,V2,True
48,T-0135,forged,V1,True
48,T-0135,forged,V2,False
48,T-0172,honest,V1,False
48,T-0172,honest,V2,False
48,T-0172,naive,V1,True
48,T-0172,naive,V2,True
48,T-0172,forged,V1,True
48,T-0172,forged,V2,False
48,T-0197,honest,V1,False
48,T-0197,honest,V2,False
48,T-0197,naive,V1,True
48,T-0197,naive,V2,True
48,T-0197,forged,V1,True
48,T-0197,forged,V2,False
49,T-0002,honest,V1,False
49,T-0002,honest,V2,False
49,T-0002,naive,V1,True
49,T-0002,naive,V2,True
49,T-0002,forged,V1,True
49,T-0002,forged,V2,False
49,T-0012,honest,V1,False
49,T-0012,honest,V2,False
49,T-0012,naive,V1,True
49,T-0012,naive,V2,True
49,T-0012,forged,V1,True
49,T-0012,forged,V2,False
49,T-0022,honest,V1,False
49,T-0022,honest,V2,False
49,T-0022,naive,V1,True
49,T-0022,naive,V2,True
49,T-0022,forged,V1,True
49,T-0022,forged,V2,False
49,T-0040,honest,V1,False
49,T-0040,honest,V2,False
49,T-0040,naive,V1,True
49,T-0040,naive,V2,True
49,T-0040,forged,V1,True
49,T-0040,forged,V2,False
49,T-0078,honest,V1,False
49,T-0078,honest,V2,False
49,T-0078,naive,V1,True
49,T-0078,naive,V2,True
49,T-0078,forged,V1,True
49,T-0078,forged,V2,False
49,T-0138,honest,V1,False
49,T-0138,honest,V2,False
49,T-0138,naive,V1,True
49,T-0138,naive,V2,True
49,T-0138,forged,V1,True
49,T-0138,forged,V2,False
49,T-0161,honest,V1,False
49,T-0161,honest,V2,False
49,T-0161,naive,V1,True
49,T-0161,naive,V2,True
49,T-0161,forged,V1,True
49,T-0161,forged,V2,False
49,T-0172,honest,V1,False
49,T-0172,honest,V2,False
49,T-0172,naive,V1,True
49,T-0172,naive,V2,True
49,T-0172,forged,V1,True
49,T-0172,forged,V2,False
49,T-0183,honest,V1,False
49,T-0183,honest,V2,False
49,T-0183,naive,V1,True
49,T-0183,naive,V2,True
49,T-0183,forged,V1,True
49,T-0183,forged,V2,False
49,T-0192,honest,V1,False
49,T-0192,honest,V2,False
49,T-0192,naive,V1,True
49,T-0192,naive,V2,True
49,T-0192,forged,V1,True
49,T-0192,forged,V2,False
50,T-0024,honest,V1,False
50,T-0024,honest,V2,False
50,T-0024,naive,V1,True
50,T-0024,naive,V2,True
50,T-0024,forged,V1,True
50,T-0024,forged,V2,False
50,T-0026,honest,V1,False
50,T-0026,honest,V2,False
50,T-0026,naive,V1,True
50,T-0026,naive,V2,True
50,T-0026,forged,V1,True
50,T-0026,forged,V2,False
50,T-0055,honest,V1,False
50,T-0055,honest,V2,False
50,T-0055,naive,V1,True
50,T-0055,naive,V2,True
50,T-0055,forged,V1,True
50,T-0055,forged,V2,False
50,T-0058,honest,V1,False
50,T-0058,honest,V2,False
50,T-0058,naive,V1,True
50,T-0058,naive,V2,True
50,T-0058,forged,V1,True
50,T-0058,forged,V2,False
50,T-0082,honest,V1,False
50,T-0082,honest,V2,False
50,T-0082,naive,V1,True
50,T-0082,naive,V2,True
50,T-0082,forged,V1,True
50,T-0082,forged,V2,False
50,T-0087,honest,V1,False
50,T-0087,honest,V2,False
50,T-0087,naive,V1,True
50,T-0087,naive,V2,True
50,T-0087,forged,V1,True
50,T-0087,forged,V2,False
50,T-0131,honest,V1,False
50,T-0131,honest,V2,False
50,T-0131,naive,V1,True
50,T-0131,naive,V2,True
50,T-0131,forged,V1,True
50,T-0131,forged,V2,False
50,T-0146,honest,V1,False
50,T-0146,honest,V2,False
50,T-0146,naive,V1,True
50,T-0146,naive,V2,True
50,T-0146,forged,V1,True
50,T-0146,forged,V2,False
50,T-0157,honest,V1,False
50,T-0157,honest,V2,False
50,T-0157,naive,V1,True
50,T-0157,naive,V2,True
50,T-0157,forged,V1,True
50,T-0157,forged,V2,False
50,T-0176,honest,V1,False
50,T-0176,honest,V2,False
50,T-0176,naive,V1,True
50,T-0176,naive,V2,True
50,T-0176,forged,V1,True
50,T-0176,forged,V2,False
51,T-0013,honest,V1,False
51,T-0013,honest,V2,False
51,T-0013,naive,V1,True
51,T-0013,naive,V2,True
51,T-0013,forged,V1,True
51,T-0013,forged,V2,False
51,T-0031,honest,V1,False
51,T-0031,honest,V2,False
51,T-0031,naive,V1,True
51,T-0031,naive,V2,True
51,T-0031,forged,V1,True
51,T-0031,forged,V2,False
51,T-0050,honest,V1,False
51,T-0050,honest,V2,False
51,T-0050,naive,V1,True
51,T-0050,naive,V2,True
51,T-0050,forged,V1,True
51,T-0050,forged,V2,False
51,T-0066,honest,V1,False
51,T-0066,honest,V2,False
51,T-0066,naive,V1,True
51,T-0066,naive,V2,True
51,T-0066,forged,V1,True
51,T-0066,forged,V2,False
51,T-0069,honest,V1,False
51,T-0069,honest,V2,False
51,T-0069,naive,V1,True
51,T-0069,naive,V2,True
51,T-0069,forged,V1,True
51,T-0069,forged,V2,False
51,T-0103,honest,V1,False
51,T-0103,honest,V2,False
51,T-0103,naive,V1,True
51,T-0103,naive,V2,True
51,T-0103,forged,V1,True
51,T-0103,forged,V2,False
51,T-0119,honest,V1,False
51,T-0119,honest,V2,False
51,T-0119,naive,V1,True
51,T-0119,naive,V2,True
51,T-0119,forged,V1,True
51,T-0119,forged,V2,False
51,T-0124,honest,V1,False
51,T-0124,honest,V2,False
51,T-0124,naive,V1,True
51,T-0124,naive,V2,True
51,T-0124,forged,V1,True
51,T-0124,forged,V2,False
51,T-0135,honest,V1,False
51,T-0135,honest,V2,False
51,T-0135,naive,V1,True
51,T-0135,naive,V2,True
51,T-0135,forged,V1,True
51,T-0135,forged,V2,False
51,T-0164,honest,V1,False
51,T-0164,honest,V2,False
51,T-0164,naive,V1,True
51,T-0164,naive,V2,True
51,T-0164,forged,V1,True
51,T-0164,forged,V2,False
